Listing price,Timestamp
265.00,2022-04-25
355.00,2022-04-25
176.00,2022-04-25
320.00,2022-04-25
195.00,2022-04-25
325.00,2022-04-25
150.00,2022-04-25
129.00,2022-04-25
249.99,2022-04-25
216.00,2022-04-25
255.00,2022-04-25
259.99,2022-04-25
320.00,2022-04-25
375.00,2022-04-25
51.00,2022-04-25
50.00,2022-04-25
249.99,2022-04-25
267.99,2022-04-25
255.00,2022-04-25
1100.00,2022-04-25
300.00,2022-04-25
265.00,2022-04-25
142.00,2022-04-25
265.00,2022-04-25
300.00,2022-04-25
136.00,2022-04-25
150.00,2022-04-25
650.00,2022-04-25
249.99,2022-04-25
160.00,2022-04-25
240.00,2022-04-25
349.99,2022-04-25
245.00,2022-04-25
310.00,2022-04-25
236.00,2022-04-25
99.00,2022-04-25
320.00,2022-04-25
150.00,2022-04-25
215.00,2022-04-25
339.00,2022-04-25
170.00,2022-04-25
230.00,2022-04-25
108.00,2022-04-25
153.00,2022-04-25
185.00,2022-04-25
279.99,2022-04-25
170.00,2022-04-25
250.00,2022-04-25
241.57,2022-04-25
382.00,2022-04-25
275.00,2022-04-25
400.00,2022-04-25
279.00,2022-04-25
349.00,2022-04-25
280.00,2022-04-25
380.00,2022-04-25
500.00,2022-04-25
100.00,2022-04-25
236.00,2022-04-25
279.99,2022-04-25
190.00,2022-04-25
175.00,2022-04-25
180.00,2022-04-25
200.00,2022-04-25
382.00,2022-04-25
1.00,2022-04-25
253.00,2022-04-25
250.00,2022-04-25
199.00,2022-04-25
245.00,2022-04-25
270.00,2022-04-25
250.00,2022-04-25
279.00,2022-04-25
225.00,2022-04-25
120.00,2022-04-25
250.00,2022-04-25
138.00,2022-04-25
200.00,2022-04-25
320.00,2022-04-25
240.00,2022-04-25
265.00,2022-04-25
250.00,2022-04-25
150.00,2022-04-25
269.99,2022-04-25
370.00,2022-04-25
320.00,2022-04-25
154.00,2022-04-25
250.55,2022-04-25
300.00,2022-04-25
250.00,2022-04-25
320.00,2022-04-25
320.00,2022-04-25
275.00,2022-04-25
280.00,2022-04-25
324.99,2022-04-25
500.00,2022-04-25
375.00,2022-04-25
450.00,2022-04-25
264.00,2022-04-25
349.00,2022-04-25
355.00,2022-04-25
198.00,2022-04-25
260.00,2022-04-25
400.00,2022-04-25
400.00,2022-04-25
339.99,2022-04-25
275.00,2022-04-25
249.99,2022-04-25
362.00,2022-04-25
320.00,2022-04-25
330.00,2022-04-25
300.00,2022-04-25
269.99,2022-04-25
295.00,2022-04-25
450.00,2022-04-25
390.00,2022-04-25
330.00,2022-04-25
331.55,2022-04-25
265.00,2022-04-25
599.00,2022-04-25
269.99,2022-04-25
330.00,2022-04-25
250.00,2022-04-25
259.99,2022-04-25
399.00,2022-04-25
269.99,2022-04-25
390.00,2022-04-25
275.00,2022-04-25
180.00,2022-04-25
450.00,2022-04-25
355.00,2022-04-25
500.00,2022-04-25
260.00,2022-04-25
275.00,2022-04-25
399.00,2022-04-25
295.00,2022-04-25
253.00,2022-04-25
299.00,2022-04-25
425.00,2022-04-25
435.00,2022-04-25
279.99,2022-04-25
265.00,2022-04-25
520.00,2022-04-25
270.00,2022-04-25
467.20,2022-04-25
375.00,2022-04-25
324.99,2022-04-25
349.00,2022-04-25
400.00,2022-04-25
399.00,2022-04-25
78.00,2022-04-25
450.00,2022-04-25
340.00,2022-04-25
200.00,2022-04-25
349.00,2022-04-25
379.99,2022-04-25
390.00,2022-04-25
154.00,2022-04-25
245.00,2022-04-25
230.00,2022-04-25
359.00,2022-04-25
380.00,2022-04-25
199.00,2022-04-25
175.00,2022-04-25
315.00,2022-04-25
325.00,2022-04-25
500.00,2022-04-25
250.71,2022-04-25
420.00,2022-04-25
1.00,2022-04-25
250.00,2022-04-25
349.99,2022-04-25
260.00,2022-04-25
399.00,2022-04-25
399.00,2022-04-25
500.00,2022-04-25
425.00,2022-04-25
349.99,2022-04-25
260.00,2022-04-25
399.00,2022-04-25
198.00,2022-04-25
299.95,2022-04-25
200.00,2022-04-25
280.00,2022-04-25
250.00,2022-04-25
275.00,2022-04-25
19.18,2022-04-25
155.99,2022-04-25
299.99,2022-04-25
550.00,2022-04-25
300.00,2022-04-25
519.00,2022-04-25
295.00,2022-04-25
350.00,2022-04-25
369.00,2022-04-25
299.00,2022-04-25
370.00,2022-04-25
269.99,2022-04-25
499.99,2022-04-25
299.99,2022-04-25
549.00,2022-04-25
12.13,2022-04-25
120.00,2022-04-25
269.00,2022-04-25
250.00,2022-04-25
300.00,2022-04-25
380.00,2022-04-25
299.99,2022-04-25
349.00,2022-04-25
183.81,2022-04-25
350.00,2022-04-25
320.00,2022-04-25
350.00,2022-04-25
350.00,2022-04-25
449.00,2022-04-25
400.00,2022-04-25
250.00,2022-04-25
261.33,2022-04-25
450.00,2022-04-25
200.00,2022-04-25
150.00,2022-04-25
389.00,2022-04-25
330.71,2022-04-25
299.00,2022-04-25
399.99,2022-04-25
275.00,2022-04-25
